object_name,widget_category,|,control_name,description,long_description,widget_variant,modified_callback_enabled,modified_callback,||,url,suffix,callback,filter_str,default_path,group_props_name,|,visible,enabled,||,checked,min_val,max_val,step,info_type,text,display_text,value,items,color_alpha,color_red,color_green,color_blue,font_face,font_size,font_style,font_bold,font_italic,font_underline,font_strikeout,path_text,|,load_order,props,obj,||,group_props,folding_control_obj,color_value,font_data,font_flags
test,CHECKBOX,|,test_checkBox,测试复选框,测试复选框（test）,,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,test_checkBox_checked,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test,DIGITALBOX,|,test_digitalBox,测试数字框,测试数字框（test）,INT,true,test,||,px,X,X,X,X,|,default_true,default_true,||,X,X,test_digitalBox_min_val,test_digitalBox_max_val,test_digitalBox_step,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test,TEXTBOX,|,test_textBox,测试文本框,测试文本框（test）,DEFAULT,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,,test_textBox_text,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test,BUTTON,|,test_button,测试按钮,测试按钮（test）,DEFAULT,false,test,||,X,test,X,X,X,|,default_true,default_true,||,test_button_url,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test,COMBOBOX,|,test_comboBox,测试组合框,测试组合框（test）,LIST,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,X,X,test_comboBox,test_comboBox,test_comboBox,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test,PATHBOX,|,test_pathBox,测试路径选择框,测试路径选择框（test）,FILE,true,test,||,X,X,*.*,"""""",X,|,default_true,default_true,||,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,test_pathBox,|,,,,||,X,X,X,X,X
test,COLORBOX,|,test_colorBox,测试颜色选择框,测试颜色选择框（test）,ALPHA,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,X,X,X,X,X,test_colorBox,test_colorBox,test_colorBox,test_colorBox,X,X,X,X,X,X,X,X,|,,,,||,X,X,,X,X
test,FONTBOX,|,test_fontBox,测试字体选择框,测试字体选择框（test）,,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,X,X,X,X,X,X,X,X,X,test_fontBox,test_fontBox,test_fontBox,test_fontBox,test_fontBox,test_fontBox,test_fontBox,X,|,,,,||,X,X,X,,
test,LISTBOX,|,test_listBox,测试列表框,测试列表框（test）,STRINGS,true,test,||,X,X,*.*,"""""",X,|,default_true,default_true,||,X,X,X,X,X,X,X,X,X,test_listBox,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test,GROUP,|,test_group,测试分组框,测试分组框（test）,CHECKABLE,true,modified_group_fold,||,X,X,X,X,group_props,|,group_foldless_is,group_foldless_is,||,X,group_foldless_is,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,,,X,X,X
→test1,COMBOBOX,|,test1_comboBox,测试组合框,测试组合框（test）,LIST,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,X,X,test1_comboBox,test1_comboBox,test1_comboBox,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
→test1,PATHBOX,|,test1_pathBox,测试路径选择框,测试路径选择框（test）,FILE,true,test,||,X,X,*.*,"""""",X,|,default_true,default_true,||,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,test1_pathBox,|,,,,||,X,X,X,X,X
→test1,COLORBOX,|,test1_colorBox,测试颜色选择框,测试颜色选择框（test）,ALPHA,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,X,X,X,X,X,test1_colorBox,test1_colorBox,test1_colorBox,test1_colorBox,X,X,X,X,X,X,X,X,|,,,,||,X,X,,X,X
→test1,GROUP,|,test1_group,测试分组框,测试分组框（test）,NORMAL,true,test,||,X,X,X,X,group1_props,|,default_true,default_true,||,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,,,X,X,X
→→test2,TEXTBOX,|,test2_textBox,测试文本框,测试文本框（test）,INFO,true,test,||,X,X,X,X,X,|,default_true,default_true,||,X,X,X,X,X,test2_textBox,test2_textBox,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
test2,BUTTON,|,test3_button,测试按钮,测试按钮（test）,URL,false,test,||,X,test,X,X,X,|,default_true,default_true,||,test3_button_url,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,X,X,X,X,X
→→test2,GROUP,|,test2_group,测试分组框,测试分组框（test）,NORMAL,true,test,||,X,X,X,X,group2_props,|,default_true,default_true,||,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,|,,,,||,,,X,X,X
